Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2021M08,"31,737"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2021M02,"31,736"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2020M08,"34,567"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2025M05,"8,719"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2024M11,"8,141"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2024M08,"8,134"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2024M02,"7,477"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2023M08,"6,499"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2023M02,"6,152"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2022M08,"5,913"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2022M02,"5,544"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2021M08,"5,486"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2021M02,"5,543"
Total Nacional,01 Andalucía,41 Sevilla,Viviendas turísticas,2020M08,"6,432"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2025M05,"2,573"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2024M11,"2,625"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2024M08,"2,769"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2024M02,"2,564"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2023M08,"2,366"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2023M02,"2,241"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2022M08,"2,183"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2022M02,"2,031"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2021M08,"2,047"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2021M02,"1,967"
Total Nacional,02 Aragón,22 Huesca,Viviendas turísticas,2020M08,"2,133"
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2025M05,810
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2024M11,858
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2024M08,852
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2024M02,777
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2023M08,682
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2023M02,643
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2022M08,640
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2022M02,595
Total Nacional,02 Aragón,44 Teruel,Viviendas turísticas,2021M08,651
