provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Castellón/Castelló,"327,56","201,16","159,61","188,95","229,02","256,7","254,34","194,14","212,51","140,6","164,67","200,76","203,67","140,45","157,77","159,87","130,76","106,45","143,53","111,28","138,25","115,88","124,91","136,58","146,82","127,41","142,87","130,56","126,57","128,97","99,09","104,5","108,64","80,99","130,47","91,4","129,11","131,81","120,17","106,74","107,27","128,26","87,26","134,51","95,18","134,79","131,42","125,04","110,28","142,23","144,31","149,92","114,04","133,45","130,9","155,14","170,05"
Valencia/València,"276,2","205,96","222,37","244,13","197,97","226,42","193,8","192,82","192,96","195,29","214,2","150,46","171,07","197,03","187,48","161,58","169,89","174,95","169,86","173,56","159,01","149,22","159,03","153,62","167,32","145,44","168,97","233,81","163,29","174,32","170,1","157,61","190,16","198,32","161,65","192,79","155,93","149,91","166,56","164,84","142,91","159,25","176,33","176,36","168,29","179,11","177,84","180,27","190,35","177,44","182,09","191,26","213,12","210,25","205,92","253,34","216,37"
Extremadura,"100,16","86,09","85,48","92,13","89,99","116,08","98,26","153,13","107,89","70,93","110,27","89,62","98,65","105,88","90,6","84,26","91,69","95,31","88,45","97,42","95,73","100,19","81,18","103,5","97,2","117,42","101,58","81,72","104,92","83,94","88,01","96,91","76,87","98,74","107,34","115,35","99,6","111,55","104,9","109,43","107,44","116,65","131,27","112,7","93,05","109,2","109,34","101,73","95,32","131,87","127,84","127,9","102,66","109,26","100,14","113,22","128,77"
Badajoz           ,"82,43","65,19","83,84","91,63","87,89","94,71","110,21","160,26","97,76","65,27","101,87","89,75","93,66","112,26","99,94","95,49",92,"92,12","90,71","107,19","107,38","97,78","90,08","97,64","98,11","113,35","102,76","76,4","110,23","81,46","82,65","99,69","69,14","95,33","96,64","98,82","93,76","104,41","94,13","114,6","101,63","101,33","111,94","116,12","96,72","101,73","103,9","97,95","101,88","127,75","126,31","127,18","117,03","102,43","104,47","104,69","122,26"
Cáceres           ,"132,97","122,64","96,68","93,52","95,45","152,22","77,08","139,16","125,6","84,17","119,86","89,67","104,43","103,13","73,6","65,73","89,55","89,53","85,31","79,62","74,99","101,01","55,21","106,25","94,18","127,17","105,02","94,62","93,2","94,09","92,74","93,95","104,87","107,14","127,01","134,25","125,35","129,98","123,15","101,33","117,7","146,13","156,05","102,57","82,77","129,68","124,4","114,07","86,37","141,08","131,78","131,96","78,69","121,39","93,57","143,43","139,76"
Galicia,"114,52","125,18","111,57","152,71","104,62","83,98","105,23","111,73","79,07","87,86","92,57","83,64","86,37","73,77","102,89","92,47","66,11","74,63","102,99","84,25","77,24","93,49","74,34","66,28","72,06","85,09","90,15","77,46","85,1","101,04","84,74","96,78","99,96","99,09","103,99","85,91","109,82","92,81","85,28","104,4","87,75","79,27","83,76","97,11","111,91","91,27","89,91","93,99","101,01","110,87","159,85","95,97","87,53","112,18","82,71","140,77","96,62"
Coruña (A),"125,23","95,26","92,52","143,86","81,69","92,72","123,72","121,74","86,54","89,17","115,14","100,92","90,1","70,23","104,07","90,32","45,35","75,99","112,96","59,23","79,45","70,3","67,23","70,31","89,58","63,4","104,36","98,61","84,24","98,32","83,31","99,28","96,33","114,45","117,03","92,48","118,27","92,68","120,77","107,29","109,04","73,91","101,43","100,24","109,31","105,93","98,8","119,13","93,56","108,98","106,74","99,73","97,47","116,43","93,06","156,88","96,77"
Lugo,"94,57","85,32",n.s.,"130,63","101,58","101,55","88,33","82,07","31,86","49,69","33,1","34,01","61,28","46,82","98,83","45,82","35,22","50,06","48,44","39,76",n.s.,"53,52","57,99","43,93","54,93","79,7","63,72","20,95","32,87","60,88","58,85","66,61","79,66","74,37","96,48","37,15","79,11","18,15","25,8","65,63","54,23","175,12","95,57","79,1","39,48","73,2","64,98","64,42","91,81","80,38","53,68","59,7","45,68","92,27","32,48","30,16","51,47"
Ourense,83,"52,91",n.s.,n.s.,"129,04","27,45","27,52","57,71",n.s.,67,"21,95","68,44","36,36","65,5","76,17","60,27","39,41","43,92","83,91","79,44","67,84","51,28","83,58","75,82","39,98","90,93","61,8","64,31","52,47","72,49","72,51","60,85","30,3","21,66","63,13","55,08","42,26","44,16","39,26","24,45","64,94","42,34","53,82","48,33","72,97","64,11","26,27","29,01","74,76","53,35","44,39","53,63","39,65",n.s.,"25,69","35,56","59,61"
Pontevedra,"120,43","207,72","156,31","182,1","128,21","79,49","132,22","128,86","90,17","138,66","139,85","100,83","103,22","102,92","109,9","117,65","118,85","104,21","121,49","115,84","84,42","117,87",88,"65,23","87,62","116,02","99,95","95,18","109,16","130,02","104,95","125,44","111,84","123,92","117,54","107,91","132,96","130,07","76,89","130,55","85,2","102,31","69,04","106,91","161,38","107,01","119,65","118,16","125,67","134,87","301,75","139,22","89,37","123,21","107,33","260,18","136,47"
Madrid (Comunidad de),"382,94","516,77","347,54","418,36","377,52",435,"434,3","425,8","320,54","271,39","305,99","270,7","316,88","224,7","272,11","317,73","314,86","343,33","377,07","292,03","343,99","294,67","273,97","338,96","296,46",300,"291,96","272,94","296,46","318,9","251,75","311,68","309,35","315,65","338,44","273,48","287,53",225,"288,86","230,59","270,6","308,64","294,3","308,97","296,31","309,86","228,5","261,08","248,14","263,38","297,5","291,33","313,41","269,28","308,76","335,5","306,36"
Murcia (Región de),"207,69","220,61","199,39","227,79","198,04","151,28","172,74","231,98","173,12","211,3","171,71","200,53","206,77","156,55","93,24","136,99","181,01","180,69","170,02","151,21","133,12","131,28","116,3","146,43","156,66","150,41","144,3","120,37","147,84","147,17","137,73","142,24","144,9","150,55","167,3","124,69","136,55","74,85","119,83","117,14","124,18","122,19","122,49","133,65","118,6","145,81","80,22","138,43","152,38","134,32","110,49","90,48","152,69","144,23","175,5","161,19","166,46"
Navarra (Comunidad Foral de),"205,68","179,39","165,77","235,94","221,11","179,82","157,25","217,64","123,4","138,91","152,86","174,01","112,37","124,17","149,34","152,22","118,72","150,44","124,87","95,38","150,22",114,"111,76","94,76","102,74","117,96","153,37","105,21","128,39","125,77","98,86","130,52","128,32","118,87","129,28","129,16","123,51","115,94","147,27","111,53","109,97","164,21","123,27","130,37","168,35","161,56","149,71","122,41","135,65","172,83","136,76","118,55","190,48","135,98","127,82","148,57","121,43"
País Vasco,"306,68","384,19","249,29","254,81","277,22","216,54","242,83","416,99","288,28","219,09","178,49","228,34","235,41","265,99","214,98","238,19","251,1","203,67","243,16","221,3","193,7","215,23","191,42","152,75","175,55","191,04","214,29","187,17","195,89","166,17","187,91","241,79","176,84","245,92","230,04","240,54","231,72","194,82","215,47","200,46","191,08","187,49","245,47","276,01","219,19","218,23","248,11","232,46","268,84","244,38","192,74","202,82","264,07","192,63","282,81","298,62","215,07"
Álava,"432,53","217,82","106,19","248,82","365,78","165,53","178,27","229,09",n.s.,"184,66","123,91","185,46","297,88","279,24","266,7",293,"228,55","234,53","189,99","182,19","177,5","240,41","130,18","206,42","197,5","170,61","155,61","199,28","182,22","141,71","183,35","208,74","130,7","225,87","103,8","212,92","126,94","100,67","107,05","139,81","164,37","174,02","171,81","269,2","201,06","198,56","309,19","234,63","142,93","184,39","114,22","215,09","205,07","158,6","278,97","262,07","101,04"
Guipúzcoa,n.s.,n.s.,"388,93","222,64","202,4","315,37","213,4","293,23","240,41","274,19","90,25","456,6",n.s.,"247,86","309,68","281,78",142,"235,9","367,35","350,79","179,38","228,88","222,2","155,33","172,22","280,36","237,48","212,73","232,32","177,74","204,39","262,95","197,29","244,89","342,59","287,09","302,76","280,13","250,49","295,49","210,16","150,42","369,64","244,92","187,63","162,93","199,05","244,13","255,07","279,69","289,01","201,06","248,15","143,31","365,54","646,33","198,18"
Vizcaya,"248,65","445,53","270,91","281,71","264,92","358,92","385,3","490,69","309,54","206,04","315,94","198,69","178,88","262,48","127,54","218,66","320,05","185,12","228,71","207,28","188,22","207,21","192,44","137,56","165,83","188,65","233,81","168,81","207,33","175,62","182,19","235,57","208,82","286,01","241,51","242,95","262,05","249,28","298,93","196,81","183,61","194,52","277,76","264,63","231,08","253,19","211,93","222,12","313,78","272,53","259,18","196,19","302,19","221,22","205,11","276,86","309,43"
Rioja (La),n.s.,"124,14","152,53","117,85","148,7","172,31","114,33","178,64","119,39","183,65","205,96","191,52","62,34","126,34","103,6","110,51","84,41","98,57","116,13","109,61","101,29","96,66","79,63","111,34","109,58","98,88","107,09","105,77","128,77","113,46","104,69","120,06","126,03","145,54","60,88","132,01","127,69","67,03","104,86","121,64","93,09","104,65","108,76","104,59","127,55","146,26","128,28","121,32","111,5","139,53","152,57","97,38","191,01","180,52","101,29","95,13","136,86"
Ceuta y Melilla,"401,44",.,n.s.,n.s.,"273,08",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,.,n.s.,"157,79",.,n.s.,n.s.,"184,23",.,n.s.,n.s.,n.s.,n.s.,n.s.,.,.,n.s.,n.s.,n.s.,.,n.s.,n.s.,"400,76",n.s.,.,.,.,n.s.,n.s.,n.s.,n.s.,"160,48","187,32",.,.,n.s.,n.s.,.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
