provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Huesca            ,"124,22","162,99","117,28","116,02","238,26","133,7","130,01","123,28","112,23","72,37","77,29","80,12","95,48","83,88","82,89","108,1","79,99","113,8","93,64","96,8","110,19","88,95","95,39","100,78","61,38","102,43","82,33","90,6","83,2","83,96","80,56","86,74","80,53","116,53","130,49","71,77","98,72","87,1","101,07","84,09","90,43","98,13","105,65","89,31","84,98","117,8","131,17","114,79","112,02","105,77","114,03","90,22","109,69","128,46","99,61","295,47","126,98"
Teruel            ,"102,27","106,95","90,22","75,06","76,58","33,85","47,48","71,91","73,97","64,31","64,98","78,68","40,44","79,86","51,32","46,33",n.s.,"67,11","86,58","51,7","68,53","51,24",n.s.,"100,59","83,88","64,55","76,44","63,01","96,21","98,55","50,29","94,32","61,28","52,14","46,25","96,1","89,51","100,44","44,84","95,75","54,34","82,14","53,92","63,49","46,24","74,53","79,15","76,54","58,19","42,06","66,5","70,56","81,52","95,33","87,67","66,78","99,19"
Zaragoza          ,"194,99","228,44","177,41","165,25","282,94","141,09","238,51","227,11","208,56","213,68","88,47","127,19","93,1","132,51","111,6","80,23","105,64","113,42","140,44","128,55","119,81","124,5","154,17","146,88","112,74","119,93","136,82","119,51","144,57","186,21","94,99","125,66","133,4","102,3","167,95","147,58","126,71","85,48","148,33","105,51","71,36","142,84","104,6","105,19","112,13","145,61","151,54","103,35","125,25","104,8","88,33","182,84","109,75","141,54","108,39","23,79","116,56"
Asturias (Principado de ),"175,01","238,62","171,87","128,37","199,26","151,17","153,27","139,28","127,2","110,92","101,25","138,45","63,78","113,42","100,81","117,91","144,65","126,73","120,48","81,6","124,04","91,68","102,67","116,37","80,57","132,48","114,51","93,15","131,82","138,27","97,98","86,9","76,48","74,97","134,18","114,7","102,25","107,9","96,25","90,29","111,88","141,41","102,35","107,5","107,22","140,23","114,15","117,5","105,65","74,8","136,65","142,59","148,14","135,13","164,54","106,29","131,37"
Balears (Illes),"267,86","296,72","236,7","255,8","220,43","170,61","195,04","254,74","225,83","232,31","213,44","268,29","233,67","255,69","246,03","213,85","255,59","266,91","272,26","254,18","225,97","244,16","256,76","237,04","266,25","274,2","256,03","266,34","263,65","273,04","258,52","262,4","276,48","284,95","298,86","286,14","290,65","263,15","272,78","296,68","294,74","313,82","276,49","308,55","329,15","340,04","335,97","340,86","332,75","313,99","332,71","304,28","360,12","340,54","367,31","386,62","383,61"
Canarias,"252,15","224,31","224,93","223,32","206,11","214,52","206,11","217,87","171,62","192,72","182,39","183,88","150,39","185,3","183,39","151,63","188,48","167,1","165,65","185,28","189,26","179,99","128,2","167,33","184,52","197,21","196,1","213,08","195,58","210,53","199,41","184,9","206,5","222,01","244,58","204,46","227,61","163,72","201,15","230,15","175,09","202,06","170,74","209,12","216,92","226,48","216,38","240,46","225,44","215,24","250,61","250,8","226,98","243,64","228,76","260,97","258,1"
Palmas (Las)      ,"253,24","259,61","242,04","286,94","319,65","267,76","228,68","240,65","230,37","239,12","248,25","208,13","175,07","202,42","228,25","137,24","201,17","164,43","173,98","228,86","239,62","199,58","104,06","184,36","213,23","213,56","216,55","238,87","213,28","235,23","225,63","201,44","222,8","227,55","260,83","244,82","251,1","186,47","210,4","256,71","194,15","221,52","195,24","224,98","253,48","244,32","220,43","288,42","254,29","269,96","256,82","267,09","238,77","254,8","252,83","292,94","331,47"
Santa Cruz de Tenerife,"256,32","174,39","211,48","159,39","158,36","168,28","169,94","185,93","123,25","150,47","132,48","170,04","125,47","168,91","139,74","204,07","168,42","177,07","154,62","150,26",148,"160,72","157,88","154,97","156,87","177,65","180,14","185,17","173,19","188,72","170,09","169,91","193,17","213,57","225,9","174,71","204,44","128,74","188,12","195,82","157,21","194,03","161,95","195,04","188,05","213,33","215,61","213,62","211,48","174,25","246,37","244,32","217,96","229,05","197,73","203,05","186,22"
Cantabria,"171,85","241,09","137,36","148,17","146,49","148,04","178,59","126,35","65,72","99,22","96,09","117,3","72,3","107,88","110,81","99,78","72,99","94,77","89,97","74,3","90,85","84,92","100,27","108,47","112,26","132,72","109,44","84,82","94,13","92,96","87,37","89,76","100,09","115,76","86,41","115,71","79,2","79,44","109,02","109,25","97,73","92,69","73,39","96,74","78,31","108,23","97,32","106,11","90,07","78,33","106,55","135,89","105,5","122,49","82,68","87,81","80,2"
Castilla y León,"86,79","86,59","75,82","84,83","73,31","74,91","53,97","65,78","70,86","49,02","51,96","59,88","59,55","69,68","65,09","59,06","69,07","63,21","55,86","59,89","62,7","61,58","54,18","54,02","62,09","71,59","67,92","57,96","74,75","65,82","55,45","61,36","61,74","73,54","66,31","71,35","70,78","83,53","53,07","55,03","58,45","60,98","61,15","65,1","66,23","70,5","69,92","75,91","55,16","66,83","76,6","77,87","84,87","81,59","72,06","76,1","58,13"
