provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Cataluña,"2145,2","2132,3",2077,"2039,5","1959,9","1895,2","1845,9","1810,8","1752,9","1691,5","1681,4","1665,8","1657,9","1658,3","1662,9","1671,3","1654,6","1680,8","1682,1","1721,1","1735,2","1757,8","1762,1","1796,7","1829,1",1834,"1871,4","1892,6",1906,"1948,6","1961,4",2002,"2018,9",2032,"2028,6","2037,3","2030,2","1986,9","1998,9","1991,6","2016,2","2041,1","2037,6","2090,9","2160,1","2139,6","2129,7","2145,3","2186,3","2171,6","2198,7","2232,9","2265,6",2287,"2303,2","2369,9","2452,6"
Ceuta,"1774,5","1852,6","1850,7","1798,9","1818,7","1815,1","1778,8","1698,8","1722,6","1752,7","1702,1","1763,4","1792,8","1748,2","1813,8","1758,1","1703,5","1727,5","1731,8","1719,7","1686,4","1742,8",1715,"1741,7","1755,7","1818,7","1763,3","1754,9","1790,5","1728,9","1710,6","1687,5","1728,7","1731,4","1786,1","1732,4","1745,6","1749,9",1806,"1781,7",1786,"1796,6","1797,7","1749,2","1813,9","1850,7","1849,5","1852,9","1822,8","1862,5","1862,9","1825,2","1896,9","1950,3","1957,2","1975,6","2048,1"
Ceuta y Melilla,"1630,4","1694,1","1673,8","1670,5","1672,2","1660,2","1644,9","1570,9","1588,2",1585,"1571,5",1579,"1586,6","1556,2","1577,5","1578,2","1565,2","1542,8","1558,7",1550,"1560,8","1577,8",1577,"1595,8","1628,8","1671,1","1643,6","1618,9","1653,1","1654,3","1643,6","1658,1","1693,5",1673,"1686,9","1688,5","1674,2","1689,1","1735,6","1710,7","1706,2","1732,2","1738,1","1699,8","1765,7","1800,8","1796,5",1823,"1800,5","1829,1","1866,3","1827,3","1898,5","1922,9","1904,6","1937,5","1966,6"
Ciudad Real       ,"948,3","965,4",978,"1020,1","979,2","928,3","926,4",919,"871,9","836,2",822,"801,5","782,8","788,8",798,"774,1","779,5","791,8","771,8","792,4","777,1","782,9","775,7","786,6","773,5","769,5","770,6",765,"759,9","749,1","766,6","752,1","752,8","727,4","734,1","733,9","731,9","705,6","718,9","730,9","723,4","710,6","711,5","714,9",729,"732,2","719,5","729,6","722,9","708,1","719,8","712,5",724,"724,2",713,"725,5","747,7"
Comunidad Valenciana,"1383,5","1347,1","1357,9","1340,4","1271,4","1225,9","1204,1","1149,1",1143,"1145,1","1154,1","1128,3","1114,9","1122,8",1116,"1135,3","1122,6","1139,9","1139,6","1150,7","1149,9","1150,2","1161,2","1151,4",1158,"1149,6","1144,5","1157,7","1176,6",1181,"1167,4","1200,8","1225,7","1226,8","1217,1",1232,"1214,2","1183,7","1208,3","1217,8","1220,6","1245,2","1254,8","1294,5","1320,4",1316,1313,"1317,8","1363,5","1370,9","1398,9",1434,"1459,2",1473,"1514,5","1559,5","1618,9"
Córdoba           ,"1319,7","1350,1","1328,5","1361,7","1333,1","1350,8","1333,2","1271,9","1234,7","1200,1","1208,1","1163,4","1156,4","1135,9","1122,6","1123,3","1149,8","1144,6","1150,3","1173,4","1149,7","1133,8","1147,8","1144,4","1135,7","1143,4","1123,6","1132,4","1143,3","1158,5","1131,4","1144,2",1155,"1170,4","1126,4","1141,3",1132,"1121,5","1118,8","1130,1","1099,9","1107,9","1093,5","1092,5","1123,5","1116,3","1115,4","1116,3","1113,6","1108,8","1093,8",1119,"1125,9",1147,"1127,6","1139,6","1161,7"
Coruña (A),"1426,7","1413,9","1395,5","1371,8","1322,4","1360,7","1326,7","1247,1","1220,9","1228,2","1191,4","1216,4","1203,7","1177,9","1165,3","1192,3","1179,9","1188,9","1203,1","1208,3","1239,1","1210,9","1221,9","1210,6","1216,9","1225,9","1231,5",1217,"1221,9","1224,4","1197,6","1225,4",1224,"1242,3","1228,6","1246,9","1235,9","1235,9","1248,5","1256,9","1261,1",1256,1275,"1267,9","1271,7","1300,1","1313,6",1308,"1334,7","1344,1",1347,"1360,1","1386,7","1398,6","1445,3","1448,8","1503,3"
Cuenca            ,1035,"1024,7","1029,8",1037,"940,9",n.r,n.r,"823,3","863,6","820,9",845,"821,6",839,"823,4","814,2","800,6","782,7","805,6","795,9","825,6","800,3","820,4",794,"777,8","799,3","801,2","798,4","786,6","766,7","788,5","763,9","790,5",776,"761,8","781,5","779,4",752,"753,3","774,5","773,8","762,4","786,7","766,1","794,6","772,2",795,"793,2","769,2","747,1","773,2","781,5","779,1","776,7","771,1","798,5",809,"843,3"
Extremadura,"984,3","975,4","994,9",981,"932,9","908,1","873,8","888,7","889,6","897,6","898,5","851,3","848,8","837,1","849,4","854,5","853,6","861,1",863,"870,9","885,2",882,856,"864,7","864,6","862,9","854,5",866,"861,7","857,9","856,1","869,1","847,8",862,"865,9","858,5","867,8","850,1","844,4","852,3","833,5","843,9","856,6","863,4","864,5","876,8","867,6","864,2","880,4","876,9","868,5","883,6","888,3","898,7","901,6","905,1","913,1"
Galicia,1405,"1402,1","1396,9","1373,2","1302,3","1294,5","1255,7","1204,2","1207,8",1218,"1204,6",1210,"1194,7","1176,6","1167,2","1176,5","1167,4","1179,6","1179,6","1186,8","1197,5","1196,7","1185,4","1189,8","1179,6","1186,6","1198,8","1185,2","1188,9","1197,7","1177,9","1193,2","1190,4","1203,2","1197,4","1205,4","1198,2","1185,3","1201,6","1206,2","1210,2","1206,4","1212,5","1224,5","1236,7","1265,7","1267,7","1256,8","1286,3","1293,1","1303,3","1312,4","1338,4","1344,6","1386,7","1391,9","1435,9"
