provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Segovia           ,"1345,8","1361,9","1311,5",1259,"1212,4","1206,5","1239,1",n.r,1117,"1123,7","1119,2","1075,6","1085,4","1062,1","1063,2","1013,2","999,8","1014,5","1025,7","1018,8","978,6","1002,4","989,1","952,7","972,7",989,"974,3","977,1","1001,7","974,2","959,3","986,8","964,2","960,9","990,5","986,7","974,4","966,6","985,8","967,9","976,5","963,1","984,8","987,4","1022,8","1053,8","1030,4","1061,1","1101,9","1092,6","1102,6","1144,3",1142,"1143,8","1178,7","1194,1","1242,2"
Sevilla           ,"1606,2","1583,2",1570,"1546,2","1490,5","1430,9","1390,8","1343,5","1341,8","1301,5","1271,6","1269,1","1245,3","1252,7","1257,6","1274,6","1268,1","1279,3","1259,7","1278,3","1224,4","1243,5","1245,3","1207,7","1249,5",1256,"1246,4","1261,6","1232,5",1257,"1274,4","1302,6","1332,6","1290,1","1305,3","1321,6","1348,7","1300,6",1290,"1324,9","1308,5","1333,9","1340,9","1376,8","1412,2","1374,3","1379,9","1427,8","1474,7","1469,7","1494,4","1534,2","1549,7","1567,1","1539,1","1592,2","1630,7"
Soria             ,"1383,8","1329,8","1347,1","1328,2","1358,7",n.r,n.r,n.r,"1129,5","1129,2","1098,7","1131,7","1116,7","1086,3","1049,7","1065,8","1026,1","1068,4","1081,1","1118,5","1069,3","1086,4","1056,7","1017,1","1036,8","1026,3","1015,8","1032,4","1034,3","1003,8","1010,9","1028,9","990,1","990,7","970,6","939,6","951,4","923,8","936,3","904,9","915,5","881,5","914,4","877,7","907,7","931,7",904,"919,2","929,5","942,5","907,7","939,8","935,4","967,9",976,"968,7","1004,8"
Tarragona,"1681,7","1686,7","1587,4","1609,6","1516,2","1478,3","1419,2","1380,9","1336,7","1291,3","1264,2",1244,"1235,8","1239,7","1226,4","1233,3","1213,2","1243,1","1226,1","1230,9","1237,4","1239,4","1224,6","1227,6","1249,5","1241,7","1253,6","1241,8","1261,7","1250,1","1254,2","1280,4","1279,1","1288,7","1278,8","1280,4","1259,2","1221,4","1259,8","1270,1","1263,4","1298,5","1321,9","1358,4","1403,5","1380,9","1344,1","1361,2","1381,4","1376,1","1402,2","1443,8","1472,2","1472,4","1487,4","1528,7","1580,9"
Teruel            ,"985,5",n.r,n.r,988,"981,1","940,9",n.r,n.r,"837,8","854,4","820,5","835,3","816,1","787,8","805,1","801,9","809,4","801,2","780,9","808,2","790,1","797,2","796,8",807,"788,2","780,9","801,5",806,"809,8","818,9","791,3","783,3","783,7","756,4","773,1","791,4","785,2","755,3","735,8","753,9",765,"758,2","751,9","765,5","775,7","766,1",789,"766,5","762,9","792,1","788,1","819,2","840,3","864,5","861,6","891,4","917,4"
Toledo            ,"1162,7",1160,"1125,2","1133,1","1073,7","1065,1","1024,6","1006,1","944,7","910,7","876,1","852,2","821,1","827,8","815,3","806,9","811,2","803,1","810,5",809,"820,1","790,9","800,3","813,1","804,1","798,5","799,4","796,5","800,8","798,4","809,6","837,2","831,6","826,7","838,2","849,7",835,"815,2","838,1","849,8","830,9","850,2","867,5",880,"904,8","884,2","880,4","892,2","918,6","942,2","934,8","930,9","947,1","959,9","979,8","1010,7","1049,6"
TOTAL NACIONAL,"1777,6","1752,1","1729,3","1701,8","1649,3","1606,4","1565,6","1531,2","1516,4","1502,8","1495,3","1466,9","1459,4","1459,3","1455,8","1463,1","1457,9","1476,8",1476,"1490,1","1492,4","1506,4","1499,7",1512,"1525,8",1530,1540,"1558,7","1566,6","1587,9","1589,5","1618,8","1636,3","1637,4","1638,3","1652,8","1640,4","1610,1","1619,6","1622,3","1625,4","1649,2","1661,6","1694,1",1734,"1740,7",1740,"1749,2","1788,4","1793,2","1812,4","1842,3","1865,8","1895,6",1921,"1972,1","2033,4"
Valencia/València,"1352,2","1306,2","1332,3",1295,"1225,1","1187,1","1149,1","1100,8","1106,3","1099,7","1089,8","1073,5","1052,7","1072,6","1061,4","1075,9","1058,4","1066,9","1074,5","1085,4","1089,3","1096,2","1117,1","1095,4","1099,2","1081,9","1084,6","1092,7","1116,6","1130,9",1113,"1149,3","1177,5","1182,4","1172,3","1196,5","1184,4","1150,5","1179,7",1193,"1196,3","1227,1",1220,"1271,2","1298,6","1300,9","1288,9","1308,8","1353,2","1361,6","1376,6","1427,6","1449,9","1481,6","1517,7","1568,2","1625,3"
Valladolid        ,"1425,9","1367,4","1351,6","1405,7","1325,6","1337,5","1261,3","1321,8","1274,2",1222,"1197,6","1158,1","1179,5","1154,1","1163,3","1153,4","1122,4","1151,5","1164,8","1163,1","1148,6","1172,6","1139,7","1175,4","1163,4","1156,7","1168,6","1198,3","1173,9","1206,6","1193,6","1232,3","1233,4","1235,8","1236,2","1251,8","1247,4","1215,8","1209,7","1228,9","1219,2","1250,7","1254,5","1287,7","1276,9","1289,8","1250,5","1290,1",1276,"1278,7","1283,3","1309,7","1314,3",1315,"1344,2","1374,6","1391,1"
Zamora            ,"1065,8","1049,8","1051,9","1072,9",1006,1010,"958,5","971,9","938,7","877,7","881,2","912,9","898,6","880,5","887,5","858,1","840,5","856,5",854,"876,1","900,6","915,1","878,3","902,1",873,"863,9","884,2","863,6","857,9","851,6","857,3","847,6","864,8","832,2","825,9","834,7","828,9","854,3","823,5","845,4","833,6",803,"791,6","815,8","798,9","786,3","789,1","795,7","805,4","812,8","826,4","804,4","814,4","841,2","813,7","836,4","851,2"
Zaragoza          ,1718,"1665,7","1612,4",1570,"1540,2","1460,1","1391,5","1406,8","1347,7","1312,7","1254,9","1218,5","1219,2","1225,7","1213,6","1228,3","1252,2","1270,5","1260,8","1248,6","1252,2","1261,1","1237,8","1265,5","1227,5","1213,8","1238,4","1260,9","1239,5","1267,1","1254,6","1301,6","1295,1","1322,8","1324,7","1314,4","1307,2","1266,2","1288,6","1294,2","1266,1","1283,6","1301,1","1339,5","1362,3","1385,1",1378,"1407,9",1393,"1399,1","1452,7","1456,3","1468,7","1519,8",1542,"1588,7","1642,7"
